-90,-26.82743466
-89.9,-26.81317612
-89.8,-26.79891758
-89.7,-26.78465904
-89.6,-26.7704005
-89.5,-26.75614196
-89.4,-26.74188342
-89.3,-26.72762488
-89.2,-26.71336634
-89.1,-26.6991078
-89,-26.68484926
-88.9,-26.66498343
-88.8,-26.6451176
-88.7,-26.62525177
-88.6,-26.60538594
-88.5,-26.58552011
-88.4,-26.56565428
-88.3,-26.54578845
-88.2,-26.52592261
-88.1,-26.50605678
-88,-26.48619095
-87.9,-26.46465896
-87.8,-26.44312696
-87.7,-26.42159496
-87.6,-26.40006296
-87.5,-26.37853097
-87.4,-26.35699897
-87.3,-26.33546697
-87.2,-26.31393498
-87.1,-26.29240298
-87,-26.27087098
-86.9,-26.24780098
-86.8,-26.22473099
-86.7,-26.20166099
-86.6,-26.17859099
-86.5,-26.155521
-86.4,-26.132451
-86.3,-26.109381
-86.2,-26.086311
-86.1,-26.06324101
-86,-26.04017101
-85.9,-26.00787301
-85.8,-25.97557502
-85.7,-25.94327702
-85.6,-25.91097903
-85.5,-25.87868103
-85.4,-25.84638303
-85.3,-25.81408504
-85.2,-25.78178704
-85.1,-25.74948905
-85,-25.71719105
-84.9,-25.68730492
-84.8,-25.65741879
-84.7,-25.62753265
-84.6,-25.59764652
-84.5,-25.56776039
-84.4,-25.53787426
-84.3,-25.50798812
-84.2,-25.47810199
-84.1,-25.44821586
-84,-25.41832973
-83.9,-25.38477337
-83.8,-25.35121701
-83.7,-25.31766065
-83.6,-25.28410429
-83.5,-25.25054793
-83.4,-25.21699157
-83.3,-25.18343521
-83.2,-25.14987885
-83.1,-25.11632249
-83,-25.08276613
-82.9,-25.04816114
-82.8,-25.01355614
-82.7,-24.97895115
-82.6,-24.94434615
-82.5,-24.90974116
-82.4,-24.87513616
-82.3,-24.84053116
-82.2,-24.80592617
-82.1,-24.77132117
-82,-24.73671618
-81.9,-24.70595618
-81.8,-24.67519619
-81.7,-24.64443619
-81.6,-24.61367619
-81.5,-24.5829162
-81.4,-24.5521562
-81.3,-24.5213962
-81.2,-24.49063621
-81.1,-24.45987621
-81,-24.42911622
-80.9,-24.39354997
-80.8,-24.35798373
-80.7,-24.32241748
-80.6,-24.28685124
-80.5,-24.25128499
-80.4,-24.21571874
-80.3,-24.1801525
-80.2,-24.14458625
-80.1,-24.10902001
-80,-24.07345376
-79.9,-24.04173252
-79.8,-24.01001127
-79.7,-23.97829002
-79.6,-23.94656878
-79.5,-23.91484753
-79.4,-23.88312629
-79.3,-23.85140504
-79.2,-23.81968379
-79.1,-23.78796255
-79,-23.7562413
