-90,-6.304711918
-89.9,-6.29556634
-89.8,-6.286420763
-89.7,-6.277275185
-89.6,-6.268129607
-89.5,-6.25898403
-89.4,-6.249838452
-89.3,-6.240692875
-89.2,-6.231547297
-89.1,-6.22240172
-89,-6.213256142
-88.9,-6.196729923
-88.8,-6.180203704
-88.7,-6.163677485
-88.6,-6.147151266
-88.5,-6.130625047
-88.4,-6.114098828
-88.3,-6.097572609
-88.2,-6.081046389
-88.1,-6.06452017
-88,-6.047993951
-87.9,-6.031949078
-87.8,-6.015904206
-87.7,-5.999859333
-87.6,-5.98381446
-87.5,-5.967769587
-87.4,-5.951724714
-87.3,-5.935679841
-87.2,-5.919634968
-87.1,-5.903590095
-87,-5.887545222
-86.9,-5.86893317
-86.8,-5.850321117
-86.7,-5.831709065
-86.6,-5.813097012
-86.5,-5.79448496
-86.4,-5.775872907
-86.3,-5.757260854
-86.2,-5.738648802
-86.1,-5.720036749
-86,-5.701424697
-85.9,-5.689872388
-85.8,-5.67832008
-85.7,-5.666767771
-85.6,-5.655215463
-85.5,-5.643663154
-85.4,-5.632110846
-85.3,-5.620558537
-85.2,-5.609006229
-85.1,-5.59745392
-85,-5.585901612
-84.9,-5.574028406
-84.8,-5.5621552
-84.7,-5.550281994
-84.6,-5.538408788
-84.5,-5.526535582
-84.4,-5.514662376
-84.3,-5.50278917
-84.2,-5.490915964
-84.1,-5.479042758
-84,-5.467169553
-83.9,-5.455617244
-83.8,-5.444064936
-83.7,-5.432512627
-83.6,-5.420960319
-83.5,-5.40940801
-83.4,-5.397855702
-83.3,-5.386303393
-83.2,-5.374751085
-83.1,-5.363198776
-83,-5.351646468
-82.9,-5.340415057
-82.8,-5.329183646
-82.7,-5.317952235
-82.6,-5.306720824
-82.5,-5.295489413
-82.4,-5.284258002
-82.3,-5.273026591
-82.2,-5.26179518
-82.1,-5.250563768
-82,-5.239332357
-81.9,-5.228036767
-81.8,-5.216741176
-81.7,-5.205445586
-81.6,-5.194149995
-81.5,-5.182854405
-81.4,-5.171558814
-81.3,-5.160263224
-81.2,-5.148967633
-81.1,-5.137672043
-81,-5.126376452
-80.9,-5.125798837
-80.8,-5.125221221
-80.7,-5.124643606
-80.6,-5.124065991
-80.5,-5.123488375
-80.4,-5.12291076
-80.3,-5.122333144
-80.2,-5.121755529
-80.1,-5.121177913
-80,-5.120600298
-79.9,-5.111936067
-79.8,-5.103271835
-79.7,-5.094607604
-79.6,-5.085943373
-79.5,-5.077279141
-79.4,-5.06861491
-79.3,-5.059950679
-79.2,-5.051286447
-79.1,-5.042622216
-79,-5.033957984
-78.9,-5.042622216
-78.8,-5.051286447
-78.7,-5.059950679
-78.6,-5.06861491
-78.5,-5.077279141
-78.4,-5.085943373
-78.3,-5.094607604
-78.2,-5.103271835
-78.1,-5.111936067
-78,-5.120600298
-77.9,-5.127820491
-77.8,-5.135040684
-77.7,-5.142260876
-77.6,-5.149481069
-77.5,-5.156701262
-77.4,-5.163921455
-77.3,-5.171141648
-77.2,-5.17836184
-77.1,-5.185582033
-77,-5.192802226
-76.9,-5.203391842
-76.8,-5.213981458
-76.7,-5.224571074
-76.6,-5.235160691
-76.5,-5.245750307
-76.4,-5.256339923
-76.3,-5.266929539
-76.2,-5.277519155
-76.1,-5.288108771
-76,-5.298698387
-75.9,-5.321321658
-75.8,-5.343944929
-75.7,-5.3665682
-75.6,-5.38919147
-75.5,-5.411814741
-75.4,-5.434438012
-75.3,-5.457061283
-75.2,-5.479684553
-75.1,-5.502307824
-75,-5.524931095
-74.9,-5.561994751
-74.8,-5.599058408
-74.7,-5.636122064
-74.6,-5.673185721
-74.5,-5.710249377
-74.4,-5.747313033
-74.3,-5.78437669
-74.2,-5.821440346
-74.1,-5.858504002
-74,-5.895567659
-73.9,-5.942258239
-73.8,-5.988948819
-73.7,-6.035639399
-73.6,-6.082329979
-73.5,-6.129020559
-73.4,-6.17571114
-73.3,-6.22240172
-73.2,-6.2690923
-73.1,-6.31578288
-73,-6.36247346
-72.9,-6.413881233
-72.8,-6.465289006
-72.7,-6.516696778
-72.6,-6.568104551
-72.5,-6.619512324
-72.4,-6.670920097
-72.3,-6.722327869
-72.2,-6.773735642
